                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9405,                 3.6237,                 1.2304,                      1,                 0.0847,                0.20855,                0.12573,                  1.953,                 4.0445,                 1.3345,             0.00040541,             0.00040541,             0.00040541
                      1,                 1.3896,                 2.4415,                0.95225,                0.87345,                0.51756,                 0.6524,                0.45209,                 1.1706,                 1.8573,                0.90601,             0.00081393,             0.00081393,             0.00081393
                      2,                 1.2286,                 1.9138,                0.90864,                0.85637,                0.65253,                0.76146,                  0.563,                0.97877,                 1.3013,                0.85901,              0.0012142,              0.0012142,              0.0012142
                      3,                 1.1681,                 1.7361,                0.89852,                0.84005,                0.67597,                0.80195,                 0.5702,                 1.0022,                 1.0079,                 0.8516,              0.0012129,              0.0012129,              0.0012129
                      4,                 1.1344,                 1.5822,                0.88065,                0.91925,                0.67793,                0.83141,                0.58625,                 1.0131,                0.98686,                0.85051,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.0965,                 1.3676,                 0.8685,                0.85121,                0.73372,                0.81164,                 0.6093,                0.97033,                0.90019,                0.84222,              0.0012005,              0.0012005,              0.0012005
                      6,                  1.065,                 1.2325,                 0.8635,                0.81439,                0.75196,                0.83465,                0.61417,                0.93194,                0.84235,                0.83335,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.0488,                 1.1759,                0.86602,                0.84281,                0.79248,                0.88177,                0.65452,                0.87095,                  0.733,                 0.8286,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0783,                 1.1675,                0.85468,                0.87028,                0.75501,                0.85079,                0.61082,                0.90823,                0.74928,                0.83424,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0223,                 1.0281,                0.86327,                 0.8635,                0.73806,                0.84165,                0.64285,                0.86622,                0.69379,                0.82655,               0.001151,               0.001151,               0.001151
                     10,                 0.9781,                0.96342,                 0.8562,                0.85676,                0.82539,                0.88214,                0.65051,                0.88633,                0.64003,                0.82623,              0.0011386,              0.0011386,              0.0011386
                     11,                0.99115,                0.92632,                0.85233,                0.87499,                0.87553,                0.91484,                0.65622,                0.86667,                0.61405,                0.82366,              0.0011263,              0.0011263,              0.0011263
                     12,                 0.9347,                0.85252,                0.84268,                0.93581,                0.83383,                0.91911,                0.64746,                0.83584,                0.60428,                0.81447,              0.0011139,              0.0011139,              0.0011139
                     13,                0.94174,                0.86754,                0.84505,                0.85655,                0.83304,                0.89349,                0.66162,                0.83712,                0.62124,                0.82072,              0.0011015,              0.0011015,              0.0011015
                     14,                0.95562,                0.84309,                0.85501,                0.94005,                0.81414,                0.91416,                0.65732,                0.89154,                0.57841,                 0.8262,              0.0010891,              0.0010891,              0.0010891
                     15,                 0.9236,                0.80036,                0.84994,                0.90771,                0.85455,                0.90597,                0.68026,                0.86285,                0.59554,                0.81946,              0.0010768,              0.0010768,              0.0010768
                     16,                0.93857,                0.80018,                0.83932,                0.92343,                0.82174,                0.89799,                0.68526,                0.82695,                0.55105,                0.82231,              0.0010644,              0.0010644,              0.0010644
                     17,                0.91925,                0.75686,                0.83583,                0.87381,                0.88353,                0.92463,                0.68106,                0.85534,                 0.5782,                0.82282,               0.001052,               0.001052,               0.001052
                     18,                0.90996,                0.75344,                0.84073,                 0.9626,                0.84532,                0.93128,                0.68491,                0.82885,                0.57225,                0.82142,              0.0010396,              0.0010396,              0.0010396
                     19,                0.89148,                0.71149,                0.83338,                0.93308,                0.89886,                0.95292,                0.70771,                 0.8429,                0.54243,                0.81883,              0.0010273,              0.0010273,              0.0010273
